Date;Time;Temperature (C);pH value
01/06/2022;18:11:51;29.00;6.28
01/06/2022;18:12:51;29.50;6.38
01/06/2022;18:13:51;29.50;6.36
01/06/2022;18:14:52;29.50;6.34
01/06/2022;18:15:52;29.50;6.27
01/06/2022;18:16:52;29.50;6.30
01/06/2022;18:17:52;29.50;6.35
01/06/2022;18:18:52;29.50;6.27
01/06/2022;18:19:52;29.50;6.33
01/06/2022;18:20:52;29.50;6.30
01/06/2022;18:21:53;29.50;6.37
01/06/2022;18:22:53;29.50;6.39
01/06/2022;18:23:53;29.50;6.27
01/06/2022;18:24:53;29.50;6.38
01/06/2022;18:25:53;29.50;6.27
01/06/2022;18:26:53;29.50;6.38
01/06/2022;18:27:53;29.50;6.28
01/06/2022;18:28:53;29.50;6.36
01/06/2022;18:29:54;29.50;6.30
01/06/2022;18:30:54;29.50;6.39
01/06/2022;18:31:54;29.50;6.33
01/06/2022;18:32:54;29.50;6.35
01/06/2022;18:33:54;29.50;6.28
01/06/2022;18:34:54;29.50;6.30
01/06/2022;18:35:54;29.50;6.29
01/06/2022;18:36:55;29.50;6.28
01/06/2022;18:37:55;29.50;6.36
01/06/2022;18:38:55;29.50;6.36
01/06/2022;18:39:55;29.50;6.30
01/06/2022;18:40:55;29.50;6.34
01/06/2022;18:41:55;29.50;6.29
01/06/2022;18:42:55;29.50;6.26
01/06/2022;18:43:56;29.50;6.30
01/06/2022;18:44:56;29.50;6.27
01/06/2022;18:45:56;29.50;6.38
01/06/2022;18:46:56;29.50;6.38
01/06/2022;18:47:56;29.50;6.28
01/06/2022;18:48:56;29.50;6.26
01/06/2022;18:49:56;29.50;6.38
01/06/2022;18:50:57;29.50;6.36
01/06/2022;18:51:57;29.50;6.38
01/06/2022;18:52:57;29.50;6.26
01/06/2022;18:53:57;29.50;6.30
01/06/2022;18:54:57;29.50;6.37
01/06/2022;18:55:57;29.50;6.29
01/06/2022;18:56:57;29.50;6.37
01/06/2022;18:57:57;29.50;6.26
01/06/2022;18:58:58;29.50;6.27
01/06/2022;18:59:58;29.50;6.25
01/06/2022;19:00:58;29.50;6.30
01/06/2022;19:01:58;29.50;6.38
01/06/2022;19:02:58;29.50;6.37
01/06/2022;19:03:58;29.50;6.38
01/06/2022;19:04:58;29.50;6.30
01/06/2022;19:05:59;29.50;6.25
01/06/2022;19:06:59;29.50;6.25
01/06/2022;19:07:59;29.50;6.31
01/06/2022;19:08:59;29.50;6.25
01/06/2022;19:09:59;29.50;6.36
01/06/2022;19:10:59;29.50;6.25
01/06/2022;19:11:59;29.50;6.34
01/06/2022;19:13:00;29.50;6.25
01/06/2022;19:14:00;29.50;6.37
01/06/2022;19:15:00;29.50;6.30
01/06/2022;19:16:00;29.50;6.29
01/06/2022;19:17:00;29.50;6.27
01/06/2022;19:18:00;29.50;6.37
01/06/2022;19:19:00;29.50;6.30
01/06/2022;19:20:01;29.50;6.36
01/06/2022;19:21:01;29.50;6.25
01/06/2022;19:22:01;29.50;6.29
01/06/2022;19:23:01;29.50;6.26
01/06/2022;19:24:01;29.50;6.25
01/06/2022;19:25:01;29.50;6.27
01/06/2022;19:26:01;29.50;6.25
01/06/2022;19:27:01;29.50;6.34
01/06/2022;19:28:02;29.50;6.33
01/06/2022;19:29:02;29.50;6.33
01/06/2022;19:30:02;29.50;6.37
01/06/2022;19:31:02;29.50;6.31
01/06/2022;19:32:02;29.50;6.26
01/06/2022;19:33:02;29.50;6.35
01/06/2022;19:34:02;29.50;6.36
01/06/2022;19:35:03;29.50;6.30
01/06/2022;19:36:03;29.50;6.25
01/06/2022;19:37:03;29.50;6.29
01/06/2022;19:38:03;29.50;6.36
01/06/2022;19:39:03;29.50;6.24
01/06/2022;19:40:03;29.50;6.27
01/06/2022;19:41:03;29.50;6.33
01/06/2022;19:42:04;29.50;6.35
01/06/2022;19:43:04;29.50;6.34
01/06/2022;19:44:04;29.50;6.35
01/06/2022;19:45:04;29.50;6.35
01/06/2022;19:46:04;29.50;6.29
01/06/2022;19:47:04;29.50;6.33
01/06/2022;19:48:04;29.50;6.30
01/06/2022;19:49:05;29.50;6.24
01/06/2022;19:50:05;29.50;6.27
01/06/2022;19:51:05;29.50;6.28
01/06/2022;19:52:05;29.50;6.36
01/06/2022;19:53:05;29.50;6.36
01/06/2022;19:54:05;29.50;6.34
01/06/2022;19:55:05;29.50;6.34
01/06/2022;19:56:05;29.50;6.33
01/06/2022;19:57:06;29.50;6.36
01/06/2022;19:58:06;29.50;6.28
01/06/2022;19:59:06;29.50;6.29
01/06/2022;20:00:06;29.50;6.34
01/06/2022;20:01:06;29.50;6.27
01/06/2022;20:02:06;29.50;6.30
01/06/2022;20:03:06;29.50;6.27
01/06/2022;20:04:07;29.50;6.35
01/06/2022;20:05:07;29.50;6.22
01/06/2022;20:06:07;29.50;6.24
01/06/2022;20:07:07;29.50;6.24
01/06/2022;20:08:07;29.50;6.33
01/06/2022;20:09:07;29.50;6.24
01/06/2022;20:10:07;29.50;6.36
01/06/2022;20:11:08;29.50;6.26
01/06/2022;20:12:08;29.50;6.24
01/06/2022;20:13:08;29.50;6.22
01/06/2022;20:14:08;29.50;6.27
01/06/2022;20:15:08;29.50;6.25
01/06/2022;20:16:08;29.50;6.27
01/06/2022;20:17:08;29.50;6.26
01/06/2022;20:18:09;29.50;6.36
01/06/2022;20:19:09;29.50;6.24
01/06/2022;20:20:09;29.50;6.36
01/06/2022;20:21:09;29.50;6.27
01/06/2022;20:22:09;29.50;6.36
01/06/2022;20:23:09;29.50;6.35
01/06/2022;20:24:09;29.50;6.22
01/06/2022;20:25:09;29.50;6.28
01/06/2022;20:26:10;29.50;6.25
01/06/2022;20:27:10;29.50;6.31
01/06/2022;20:28:10;29.50;6.28
01/06/2022;20:29:10;29.50;6.33
01/06/2022;20:30:10;29.50;6.25
01/06/2022;20:31:10;29.50;6.36
01/06/2022;20:32:10;29.50;6.30
01/06/2022;20:33:11;29.50;6.28
01/06/2022;20:34:11;29.50;6.35
01/06/2022;20:35:11;29.50;6.35
01/06/2022;20:36:11;29.50;6.33
01/06/2022;20:37:11;29.50;6.30
01/06/2022;20:38:11;29.50;6.25
01/06/2022;20:39:11;29.50;6.33
01/06/2022;20:40:12;29.50;6.35
01/06/2022;20:41:12;29.50;6.26
01/06/2022;20:42:12;29.50;6.26
01/06/2022;20:43:12;29.50;6.22
01/06/2022;20:44:12;29.50;6.24
01/06/2022;20:45:12;29.50;6.35
01/06/2022;20:46:12;29.50;6.35
01/06/2022;20:47:13;29.50;6.22
01/06/2022;20:48:13;29.50;6.35
01/06/2022;20:49:13;29.50;6.26
01/06/2022;20:50:13;29.50;6.35
01/06/2022;20:51:13;29.50;6.28
01/06/2022;20:52:13;29.50;6.34
01/06/2022;20:53:13;29.50;6.27
01/06/2022;20:54:13;29.50;6.35
01/06/2022;20:55:14;29.50;6.31
01/06/2022;20:56:14;29.50;6.25
01/06/2022;20:57:14;29.50;6.22
01/06/2022;20:58:14;29.50;6.34
01/06/2022;20:59:14;29.50;6.21
01/06/2022;21:00:14;29.50;6.22
01/06/2022;21:01:14;29.50;6.22
01/06/2022;21:02:15;29.50;6.31
01/06/2022;21:03:15;29.50;6.33
01/06/2022;21:04:15;29.50;6.28
01/06/2022;21:05:15;29.50;6.28
01/06/2022;21:06:15;29.50;6.22
01/06/2022;21:07:15;29.50;6.26
01/06/2022;21:08:15;29.50;6.27
01/06/2022;21:09:16;29.50;6.35
01/06/2022;21:10:16;29.50;6.31
01/06/2022;21:11:16;29.50;6.33
01/06/2022;21:12:16;29.50;6.21
01/06/2022;21:13:16;29.50;6.30
01/06/2022;21:14:16;29.50;6.30
01/06/2022;21:15:16;29.50;6.29
01/06/2022;21:16:17;29.50;6.27
01/06/2022;21:17:17;29.50;6.22
01/06/2022;21:18:17;29.50;6.25
01/06/2022;21:19:17;29.50;6.21
01/06/2022;21:20:17;29.50;6.21
01/06/2022;21:21:17;29.50;6.26
01/06/2022;21:22:17;29.50;6.21
01/06/2022;21:23:17;29.50;6.35
01/06/2022;21:24:18;29.50;6.22
01/06/2022;21:25:18;29.50;6.28
01/06/2022;21:26:18;29.50;6.24
01/06/2022;21:27:18;29.50;6.26
01/06/2022;21:28:18;29.50;6.31
01/06/2022;21:29:18;29.50;6.22
01/06/2022;21:30:18;29.50;6.35
01/06/2022;21:31:19;29.50;6.35
01/06/2022;21:32:19;29.50;6.31
01/06/2022;21:33:19;29.50;6.35
01/06/2022;21:34:19;29.50;6.33
01/06/2022;21:35:19;29.50;6.21
01/06/2022;21:36:19;29.50;6.26
01/06/2022;21:37:19;29.50;6.35
01/06/2022;21:38:20;29.50;6.28
01/06/2022;21:39:20;29.50;6.22
01/06/2022;21:40:20;29.50;6.21
01/06/2022;21:41:20;29.50;6.27
01/06/2022;21:42:20;29.50;6.30
01/06/2022;21:43:20;29.50;6.33
01/06/2022;21:44:20;29.50;6.22
01/06/2022;21:45:20;29.50;6.31
01/06/2022;21:46:21;29.50;6.24
01/06/2022;21:47:21;29.50;6.21
01/06/2022;21:48:21;29.50;6.30
01/06/2022;21:49:21;29.50;6.22
01/06/2022;21:50:21;29.50;6.21
01/06/2022;21:51:21;29.50;6.33
01/06/2022;21:52:21;29.50;6.26
01/06/2022;21:53:22;29.50;6.26
01/06/2022;21:54:22;29.50;6.31
01/06/2022;21:55:22;29.50;6.33
01/06/2022;21:56:22;29.50;6.28
01/06/2022;21:57:22;29.50;6.27
01/06/2022;21:58:22;29.50;6.33
01/06/2022;21:59:22;29.50;6.22
01/06/2022;22:00:23;29.50;6.27
01/06/2022;22:01:23;29.50;6.22
01/06/2022;22:02:23;29.50;6.21
01/06/2022;22:03:23;29.50;6.34
01/06/2022;22:04:23;29.50;6.35
01/06/2022;22:05:23;29.50;6.34
01/06/2022;22:06:23;29.50;6.21
01/06/2022;22:07:24;29.50;6.34
01/06/2022;22:08:24;29.50;6.21
01/06/2022;22:09:24;29.50;6.27
01/06/2022;22:10:24;29.50;6.22
01/06/2022;22:11:24;29.50;6.24
01/06/2022;22:12:24;29.50;6.22
01/06/2022;22:13:24;29.50;6.22
01/06/2022;22:14:24;29.50;6.34
01/06/2022;22:15:25;29.50;6.22
01/06/2022;22:16:25;29.50;6.35
01/06/2022;22:17:25;29.50;6.24
01/06/2022;22:18:25;29.50;6.29
01/06/2022;22:19:25;29.50;6.34
01/06/2022;22:20:25;29.50;6.35
01/06/2022;22:21:25;29.50;6.25
01/06/2022;22:22:26;29.50;6.34
01/06/2022;22:23:26;29.50;6.34
01/06/2022;22:24:26;29.50;6.21
01/06/2022;22:25:26;29.50;6.21
01/06/2022;22:26:26;29.50;6.27
01/06/2022;22:27:26;29.50;6.30
01/06/2022;22:28:26;29.50;6.25
01/06/2022;22:29:27;29.50;6.22
01/06/2022;22:30:27;29.50;6.21
01/06/2022;22:31:27;29.50;6.25
01/06/2022;22:32:27;29.50;6.30
01/06/2022;22:33:27;29.50;6.35
01/06/2022;22:34:27;29.50;6.22
01/06/2022;22:35:27;29.50;6.27
01/06/2022;22:36:28;29.50;6.33
01/06/2022;22:37:28;29.50;6.21
01/06/2022;22:38:28;29.50;6.25
01/06/2022;22:39:28;29.50;6.30
01/06/2022;22:40:28;29.50;6.24
01/06/2022;22:41:28;29.50;6.24
01/06/2022;22:42:28;29.50;6.26
01/06/2022;22:43:28;29.50;6.34
01/06/2022;22:44:29;29.50;6.31
01/06/2022;22:45:29;29.50;6.34
01/06/2022;22:46:29;29.50;6.31
01/06/2022;22:47:29;29.50;6.35
01/06/2022;22:48:29;29.50;6.34
01/06/2022;22:49:29;29.50;6.28
01/06/2022;22:50:29;29.50;6.22
01/06/2022;22:51:30;29.50;6.34
01/06/2022;22:52:30;29.50;6.21
01/06/2022;22:53:30;29.50;6.22
01/06/2022;22:54:30;29.50;6.31
01/06/2022;22:55:30;29.50;6.30
01/06/2022;22:56:30;29.50;6.21
01/06/2022;22:57:30;29.50;6.21
01/06/2022;22:58:31;29.50;6.29
01/06/2022;22:59:31;29.50;6.22
01/06/2022;23:00:31;29.50;6.29
01/06/2022;23:01:31;29.50;6.22
01/06/2022;23:02:31;29.50;6.21
01/06/2022;23:03:31;29.50;6.27
01/06/2022;23:04:31;29.50;6.34
01/06/2022;23:05:32;29.50;6.22
01/06/2022;23:06:32;29.50;6.25
01/06/2022;23:07:32;29.50;6.34
01/06/2022;23:08:32;29.50;6.22
01/06/2022;23:09:32;29.50;6.34
01/06/2022;23:10:32;29.50;6.21
01/06/2022;23:11:32;29.50;6.34
01/06/2022;23:12:32;29.50;6.27
01/06/2022;23:13:33;29.50;6.35
01/06/2022;23:14:33;29.50;6.21
01/06/2022;23:15:33;29.50;6.28
01/06/2022;23:16:33;29.50;6.33
01/06/2022;23:17:33;29.50;6.34
01/06/2022;23:18:33;29.50;6.25
01/06/2022;23:19:33;29.50;6.21
01/06/2022;23:20:34;29.50;6.31
01/06/2022;23:21:34;29.50;6.30
01/06/2022;23:22:34;29.50;6.31
01/06/2022;23:23:34;29.50;6.31
01/06/2022;23:24:34;29.50;6.21
01/06/2022;23:25:34;29.50;6.34
01/06/2022;23:26:34;29.50;6.21
01/06/2022;23:27:35;29.50;6.31
01/06/2022;23:28:35;29.50;6.28
01/06/2022;23:29:35;29.50;6.35
01/06/2022;23:30:35;29.50;6.33
01/06/2022;23:31:35;29.50;6.25
01/06/2022;23:32:35;29.50;6.21
01/06/2022;23:33:35;29.50;6.31
01/06/2022;23:34:36;29.50;6.33
01/06/2022;23:35:36;29.50;6.22
01/06/2022;23:36:36;29.50;6.21
01/06/2022;23:37:36;29.50;6.22
01/06/2022;23:38:36;29.50;6.34
01/06/2022;23:39:36;29.50;6.21
01/06/2022;23:40:36;29.50;6.31
01/06/2022;23:41:36;29.50;6.34
01/06/2022;23:42:37;29.50;6.24
01/06/2022;23:43:37;29.50;6.26
01/06/2022;23:44:37;29.50;6.34
01/06/2022;23:45:37;29.50;6.24
01/06/2022;23:46:37;29.50;6.24
01/06/2022;23:47:37;29.50;6.34
01/06/2022;23:48:37;29.50;6.29
01/06/2022;23:49:38;29.50;6.29
01/06/2022;23:50:38;29.50;6.34
01/06/2022;23:51:38;29.50;6.21
01/06/2022;23:52:38;29.50;6.28
01/06/2022;23:53:38;29.50;6.34
01/06/2022;23:54:38;29.50;6.31
01/06/2022;23:55:38;29.50;6.34
01/06/2022;23:56:39;29.50;6.33
01/06/2022;23:57:39;29.50;6.20
01/06/2022;23:58:39;29.50;6.26
01/06/2022;23:59:39;29.50;6.34
02/06/2022;00:00:39;29.50;6.21
02/06/2022;00:01:39;29.50;6.31
02/06/2022;00:02:39;29.50;6.34
02/06/2022;00:03:39;29.50;6.25
02/06/2022;00:04:40;29.50;6.29
02/06/2022;00:05:40;29.50;6.24
02/06/2022;00:06:40;29.50;6.22
02/06/2022;00:07:40;29.50;6.24
02/06/2022;00:08:40;29.50;6.28
02/06/2022;00:09:40;29.50;6.30
02/06/2022;00:10:40;29.50;6.30
02/06/2022;00:11:41;29.50;6.34
02/06/2022;00:12:41;29.50;6.34
02/06/2022;00:13:41;29.50;6.34
02/06/2022;00:14:41;29.50;6.28
02/06/2022;00:15:41;29.50;6.31
02/06/2022;00:16:41;29.50;6.20
02/06/2022;00:17:41;29.50;6.31
02/06/2022;00:18:42;29.50;6.22
02/06/2022;00:19:42;29.50;6.34
02/06/2022;00:20:42;29.50;6.33
02/06/2022;00:21:42;29.50;6.22
02/06/2022;00:22:42;29.50;6.21
02/06/2022;00:23:42;29.50;6.30
02/06/2022;00:24:42;29.50;6.22
02/06/2022;00:25:42;29.50;6.34
02/06/2022;00:26:43;29.50;6.21
02/06/2022;00:27:43;29.50;6.21
02/06/2022;00:28:43;29.50;6.34
02/06/2022;00:29:43;29.50;6.25
02/06/2022;00:30:43;29.50;6.22
02/06/2022;00:31:43;29.50;6.30
02/06/2022;00:32:43;29.50;6.33
02/06/2022;00:33:44;29.50;6.21
02/06/2022;00:34:44;29.50;6.24
02/06/2022;00:35:44;29.50;6.26
02/06/2022;00:36:44;29.50;6.21
02/06/2022;00:37:44;29.50;6.34
02/06/2022;00:38:44;29.50;6.34
02/06/2022;00:39:44;29.50;6.33
02/06/2022;00:40:45;29.50;6.21
02/06/2022;00:41:45;29.50;6.25
02/06/2022;00:42:45;29.50;6.20
02/06/2022;00:43:45;29.50;6.26
02/06/2022;00:44:45;29.50;6.27
02/06/2022;00:45:45;29.50;6.34
02/06/2022;00:46:45;29.50;6.20
02/06/2022;00:47:46;29.50;6.24
02/06/2022;00:48:46;29.50;6.34
02/06/2022;00:49:46;29.50;6.25
02/06/2022;00:50:46;29.50;6.30
02/06/2022;00:51:46;29.50;6.24
02/06/2022;00:52:46;29.50;6.22
02/06/2022;00:53:46;29.50;6.21
02/06/2022;00:54:46;29.50;6.21
02/06/2022;00:55:47;29.50;6.20
02/06/2022;00:56:47;29.50;6.34
02/06/2022;00:57:47;29.50;6.21
02/06/2022;00:58:47;29.50;6.31
02/06/2022;00:59:47;29.50;6.21
02/06/2022;01:00:47;29.50;6.25
02/06/2022;01:01:47;29.50;6.24
02/06/2022;01:02:48;29.50;6.21
02/06/2022;01:03:48;29.50;6.34
02/06/2022;01:04:48;29.50;6.25
02/06/2022;01:05:48;29.50;6.20
02/06/2022;01:06:48;29.50;6.29
02/06/2022;01:07:48;29.50;6.34
02/06/2022;01:08:48;29.50;6.29
02/06/2022;01:09:49;29.50;6.33
02/06/2022;01:10:49;29.50;6.20
02/06/2022;01:11:49;29.50;6.30
02/06/2022;01:12:49;29.50;6.33
02/06/2022;01:13:49;29.50;6.31
02/06/2022;01:14:49;29.50;6.29
02/06/2022;01:15:49;29.50;6.33
02/06/2022;01:16:50;29.50;6.27
02/06/2022;01:17:50;29.50;6.27
02/06/2022;01:18:50;29.50;6.33
02/06/2022;01:19:50;29.50;6.29
02/06/2022;01:20:50;29.50;6.31
02/06/2022;01:21:50;29.50;6.20
02/06/2022;01:22:50;29.50;6.24
02/06/2022;01:23:50;29.50;6.29
02/06/2022;01:24:51;29.50;6.30
02/06/2022;01:25:51;29.50;6.33
02/06/2022;01:26:51;29.50;6.34
02/06/2022;01:27:51;29.50;6.20
02/06/2022;01:28:51;29.50;6.27
02/06/2022;01:29:51;29.50;6.29
02/06/2022;01:30:51;29.50;6.29
02/06/2022;01:31:52;29.50;6.25
02/06/2022;01:32:52;29.50;6.26
02/06/2022;01:33:52;29.50;6.26
02/06/2022;01:34:52;29.50;6.20
02/06/2022;01:35:52;29.50;6.34
02/06/2022;01:36:52;29.50;6.28
02/06/2022;01:37:52;29.50;6.34
02/06/2022;01:38:53;29.50;6.34
02/06/2022;01:39:53;29.50;6.30
02/06/2022;01:40:53;29.50;6.29
02/06/2022;01:41:53;29.50;6.33
02/06/2022;01:42:53;29.50;6.27
02/06/2022;01:43:53;29.50;6.26
02/06/2022;01:44:53;29.50;6.29
02/06/2022;01:45:54;29.50;6.22
02/06/2022;01:46:54;29.50;6.30
02/06/2022;01:47:54;29.00;6.27
02/06/2022;01:48:54;29.50;6.33
02/06/2022;01:49:54;29.50;6.25
02/06/2022;01:50:54;29.50;6.31
02/06/2022;01:51:54;29.50;6.26
02/06/2022;01:52:54;29.00;6.34
02/06/2022;01:53:55;29.00;6.24
02/06/2022;01:54:55;29.50;6.25
02/06/2022;01:55:55;29.00;6.24
02/06/2022;01:56:55;29.50;6.20
02/06/2022;01:57:55;29.00;6.24
02/06/2022;01:58:55;29.00;6.22
02/06/2022;01:59:55;29.00;6.21
02/06/2022;02:00:56;29.00;6.28
02/06/2022;02:01:56;29.00;6.27
02/06/2022;02:02:56;29.00;6.31
02/06/2022;02:03:56;29.00;6.22
02/06/2022;02:04:56;29.00;6.33
02/06/2022;02:05:56;29.00;6.25
02/06/2022;02:06:56;29.00;6.20
02/06/2022;02:07:57;29.00;6.20
02/06/2022;02:08:57;29.00;6.24
02/06/2022;02:09:57;29.00;6.29
02/06/2022;02:10:57;29.00;6.27
02/06/2022;02:11:57;29.00;6.34
02/06/2022;02:12:57;29.00;6.25
02/06/2022;02:13:57;29.00;6.30
02/06/2022;02:14:57;29.00;6.20
02/06/2022;02:15:58;29.00;6.31
02/06/2022;02:16:58;29.00;6.33
02/06/2022;02:17:58;29.00;6.21
02/06/2022;02:18:58;29.00;6.31
02/06/2022;02:19:58;29.00;6.30
02/06/2022;02:20:58;29.00;6.26
02/06/2022;02:21:58;29.00;6.31
02/06/2022;02:22:59;29.00;6.31
02/06/2022;02:23:59;29.00;6.24
02/06/2022;02:24:59;29.00;6.26
02/06/2022;02:25:59;29.00;6.34
02/06/2022;02:26:59;29.00;6.22
02/06/2022;02:27:59;29.00;6.21
02/06/2022;02:28:59;29.00;6.20
02/06/2022;02:30:00;29.00;6.28
02/06/2022;02:31:00;29.00;6.31
02/06/2022;02:32:00;29.00;6.31
02/06/2022;02:33:00;29.00;6.24
02/06/2022;02:34:00;29.00;6.29
02/06/2022;02:35:00;29.00;6.29
02/06/2022;02:36:00;29.00;6.22
02/06/2022;02:37:01;29.00;6.30
02/06/2022;02:38:01;29.00;6.34
02/06/2022;02:39:01;29.00;6.20
02/06/2022;02:40:01;29.00;6.22
02/06/2022;02:41:01;29.00;6.26
02/06/2022;02:42:01;29.00;6.34
